model,dataset,turn,is_correct,memory_mb
LanceDB,synthetic_world_state.csv,1,True,249.234375
LanceDB,synthetic_world_state.csv,2,True,251.4765625
LanceDB,synthetic_world_state.csv,3,True,252.09375
LanceDB,synthetic_world_state.csv,4,True,252.46875
LanceDB,synthetic_world_state.csv,5,True,253.50390625
LanceDB,synthetic_world_state.csv,6,True,253.7578125
LanceDB,synthetic_world_state.csv,7,True,253.82421875
LanceDB,synthetic_world_state.csv,8,True,254.2578125
LanceDB,synthetic_world_state.csv,9,True,254.3984375
LanceDB,synthetic_world_state.csv,10,True,254.765625
LanceDB,synthetic_world_state.csv,11,True,254.87890625
LanceDB,synthetic_world_state.csv,12,True,255.08203125
LanceDB,synthetic_world_state.csv,13,True,255.09765625
LanceDB,synthetic_world_state.csv,14,True,255.484375
LanceDB,synthetic_world_state.csv,15,True,255.62890625
LanceDB,synthetic_world_state.csv,16,True,255.8125
LanceDB,synthetic_world_state.csv,17,True,255.8984375
LanceDB,synthetic_world_state.csv,18,True,256.10546875
LanceDB,synthetic_world_state.csv,19,True,257.7734375
LanceDB,synthetic_world_state.csv,20,True,258.06640625
LanceDB,synthetic_world_state.csv,21,True,258.2578125
LanceDB,synthetic_world_state.csv,22,True,258.609375
LanceDB,synthetic_world_state.csv,23,True,258.67578125
LanceDB,synthetic_world_state.csv,24,True,258.8203125
LanceDB,synthetic_world_state.csv,25,True,258.92578125
LanceDB,synthetic_world_state.csv,26,True,259.0234375
LanceDB,synthetic_world_state.csv,27,True,259.0703125
LanceDB,synthetic_world_state.csv,28,True,259.1640625
LanceDB,synthetic_world_state.csv,29,True,259.33984375
LanceDB,synthetic_world_state.csv,30,True,259.6640625
LanceDB,synthetic_world_state.csv,31,True,259.8203125
LanceDB,synthetic_world_state.csv,32,True,260.1015625
LanceDB,synthetic_world_state.csv,33,True,260.703125
LanceDB,synthetic_world_state.csv,34,True,260.8125
LanceDB,synthetic_world_state.csv,35,True,260.91015625
LanceDB,synthetic_world_state.csv,36,True,261.078125
LanceDB,synthetic_world_state.csv,37,True,261.06640625
LanceDB,synthetic_world_state.csv,38,True,261.15625
LanceDB,synthetic_world_state.csv,39,True,261.234375
LanceDB,synthetic_world_state.csv,40,True,261.5234375
LanceDB,synthetic_world_state.csv,41,True,261.60546875
LanceDB,synthetic_world_state.csv,42,True,261.72265625
LanceDB,synthetic_world_state.csv,43,True,261.734375
LanceDB,synthetic_world_state.csv,44,True,262.19140625
LanceDB,synthetic_world_state.csv,45,True,262.52734375
LanceDB,synthetic_world_state.csv,46,True,262.67578125
LanceDB,synthetic_world_state.csv,47,True,262.7109375
LanceDB,synthetic_world_state.csv,48,True,263.0
LanceDB,synthetic_world_state.csv,49,True,263.0625
LanceDB,synthetic_world_state.csv,50,True,263.2265625
LanceDB,synthetic_world_state.csv,51,True,263.38671875
LanceDB,synthetic_world_state.csv,52,True,263.43359375
LanceDB,synthetic_world_state.csv,53,True,263.82421875
LanceDB,synthetic_world_state.csv,54,True,263.9296875
LanceDB,synthetic_world_state.csv,55,True,264.0546875
LanceDB,synthetic_world_state.csv,56,True,264.359375
LanceDB,synthetic_world_state.csv,57,True,264.64453125
LanceDB,synthetic_world_state.csv,58,True,264.81640625
LanceDB,synthetic_world_state.csv,59,True,264.890625
LanceDB,synthetic_world_state.csv,60,True,265.21484375
LanceDB,synthetic_world_state.csv,61,True,265.4453125
